
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     S: Shutdown
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     H: Expected Halt
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     R: Restart
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     D: Thread Dump
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     U: Unexpected Halt (Simulate crash)
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     V: Access Violation (Actual crash)
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:     G: Make the JVM appear to be hung.
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper: Showing dialog...
STATUS | wrapperm | 2014/11/15 10:47:35 | Test Wrapper Sample Application started.
STATUS | wrapper  | 2014/11/15 10:47:42 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/11/15 10:47:42 | Java Service Wrapper Standard Edition 32-bit 3.5.25
STATUS | wrapper  | 2014/11/15 10:47:42 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/11/15 10:47:42 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2014/11/15 10:47:42 | 
NOTICE | wrapper  | 2014/11/15 10:47:42 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:47:42 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2014/11/15 10:47:42 | 
NOTICE | wrapper  | 2014/11/15 10:47:42 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2014/11/15 10:47:42 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2014/11/15 10:47:42 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2014/11/15 10:47:42 | automatically after 15 minutes.
NOTICE | wrapper  | 2014/11/15 10:47:42 | 
NOTICE | wrapper  | 2014/11/15 10:47:42 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2014/11/15 10:47:42 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2014/11/15 10:47:42 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2014/11/15 10:47:42 | a one-month Free trial license:
